#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#collection: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	collection	FCS_File
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_4 uM.fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_4 uM.fcs	DRA05	56	4 uM	5	4	end	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_4 uM.fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	DRA05	57	0.16 uM (Inter 1)	5	0.16	intermediate 1	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	DRA05	58	0.16 uM (Inter 2)	5	0.16	intermediate 2	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs	DRA05	59	100 uM (Inter 3)	5	100	intermediate 1	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs	DRA05	60	100 uM (Inter 4)	5	100	intermediate 2	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs
6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0 uM.fcs	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0 uM.fcs	DRA06	61	0 uM	6	0	end	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0 uM.fcs
6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	DRA06	62	0.0064 uM	6	0.0064	end	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.0064 uM.fcs
6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.032 uM.fcs	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.032 uM.fcs	DRA06	63	0.032 uM	6	0.032	end	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.032 uM.fcs
6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.16 uM.fcs	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.16 uM.fcs	DRA06	64	0.16 uM	6	0.16	end	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.16 uM.fcs
6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.8 uM.fcs	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.8 uM.fcs	DRA06	65	0.8 uM	6	0.8	end	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_0.8 uM.fcs
6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_100 uM.fcs	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_100 uM.fcs	DRA06	66	100 uM	6	100	end	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_100 uM.fcs
6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_20 uM.fcs	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_20 uM.fcs	DRA06	67	20 uM	6	20	end	6Pat-08052022-Biosensor_LCMS_rep2-DRA06_DRA-LCMS-R2_Exponential_20 uM.fcs
